,RSIIX,SCFQX,DFLYX,SPMPX,RPHIX,DFLIX,SCFZX,NWXGX,SPMHX,ENIAX
RSIIX,0.00038262040822444385,4.041524318317334e-05,0.00012651389516964143,0.001504325009506267,3.740204562980342e-05,0.00012375422211140756,4.670808939426363e-05,0.00012617318818373304,0.0011595805460365889,5.989479358909424e-05
SCFQX,4.041524318317334e-05,0.0003670034182240548,8.190601108441362e-05,0.0003032076138050144,1.1176806971382967e-05,9.113036463566371e-05,0.00032454851583460796,8.142663755011978e-05,0.00022439930735859584,4.7957885202003124e-05
DFLYX,0.00012651389516964143,8.190601108441362e-05,0.0003293317205669386,0.001600166663593494,3.5683142062556045e-05,0.00028804233429104116,8.584756976394874e-05,0.00019380452315446365,0.001220146924791879,0.00012827867085926347
SPMPX,0.001504325009506267,0.0003032076138050144,0.001600166663593494,0.0688704720669798,0.0004132453646466998,0.0014836487936012942,0.00037977920399916864,0.0003466520668002567,0.053005818103347,0.0006304017556620495
RPHIX,3.740204562980342e-05,1.1176806971382967e-05,3.5683142062556045e-05,0.0004132453646466998,0.00011276667495019643,3.763323835025504e-05,1.1187326260268046e-05,1.693581658074974e-05,0.00034503049888481337,2.1635400830793574e-05
DFLIX,0.00012375422211140756,9.113036463566371e-05,0.00028804233429104116,0.0014836487936012942,3.763323835025504e-05,0.0003267676720825829,9.340574370370748e-05,0.00018546632615118122,0.0011384460744827945,0.0001304226628056116
SCFZX,4.670808939426363e-05,0.00032454851583460796,8.584756976394874e-05,0.00037977920399916864,1.1187326260268046e-05,9.340574370370748e-05,0.00034546295334901935,8.717561764797648e-05,0.0002941042985485052,5.142772603768818e-05
NWXGX,0.00012617318818373304,8.142663755011978e-05,0.00019380452315446365,0.0003466520668002567,1.693581658074974e-05,0.00018546632615118122,8.717561764797648e-05,0.001286589216925142,0.0002249116455878526,0.00010173119571681688
SPMHX,0.0011595805460365889,0.00022439930735859584,0.001220146924791879,0.053005818103347,0.00034503049888481337,0.0011384460744827945,0.0002941042985485052,0.0002249116455878526,0.04166959752503715,0.0004711006221778893
ENIAX,5.989479358909424e-05,4.7957885202003124e-05,0.00012827867085926347,0.0006304017556620495,2.1635400830793574e-05,0.0001304226628056116,5.142772603768818e-05,0.00010173119571681688,0.0004711006221778893,0.00013513383280759793
