yf-umfm46,symbol,tw-text-left,sector
1,AGMI,Themes Silver Miners ETF,basic materials
2,AOHY,Angel Oak High Yield Opportunit,basic materials
3,AUMI,Themes Gold Miners ETF,basic materials
4,CARY,Angel Oak Income ETF,basic materials
5,COPA,Themes ETF Trust Themes Copper,basic materials
6,COPJ,Sprott Junior Copper Miners ETF,basic materials
7,COPP,Sprott Copper Miners ETF,basic materials
8,COPX,Global X Copper Miners ETF,basic materials
9,DMAT,Global X Disruptive Materials E,basic materials
10,FMAT,Fidelity MSCI Materials Index E,basic materials
11,FTSL,First Trust Senior Loan Fund,basic materials
12,FXZ,First Trust Materials AlphaDEX,basic materials
13,GBUG,Sprott Active Gold & Silver Min,basic materials
14,GDMN,WisdomTree Trust WisdomTree Eff,basic materials
15,GDX,VanEck Gold Miners ETF,basic materials
16,GDXD,MicroSectors Gold Miners -3X In,basic materials
17,GDXJ,VanEck Junior Gold Miners ETF,basic materials
18,GDXU,MicroSectors Gold Miners 3X Lev,basic materials
19,GMET,VanEck Green Metals ETF,basic materials
20,GOAU,US Global GO Gold and Precious,basic materials
21,GOEX,Global X Gold Explorers ETF,basic materials
22,HCOM,Hartford Schroders Commodity St,basic materials
23,ICOP,iShares Copper and Metals Minin,basic materials
24,ILIT,iShares Lithium Miners and Prod,basic materials
25,ION,ProShares Trust ProShares S&P G,basic materials
26,IYM,iShares U.S. Basic Materials ET,basic materials
27,JNUG,Direxion Daily Junior Gold Mine,basic materials
28,LIMI,Themes ETF Trust Themes Lithium,basic materials
29,LITP,Sprott Lithium Miners ETF,basic materials
30,MXI,iShares Global Materials ETF,basic materials
31,NIKL,Sprott Nickel Miners ETF,basic materials
32,NUGT,Direxion Daily Gold Miners Inde,basic materials
33,PICK,iShares MSCI Global Select Meta,basic materials
34,PSCM,Invesco S&P SmallCap Materials,basic materials
35,PYZ,Invesco Dorsey Wright Basic Mat,basic materials
36,REMX,VanEck Rare Earth and Strategic,basic materials
37,RING,iShares MSCI Global Gold Miners,basic materials
38,RSPM,Invesco S&P 500 Equal Weight Ma,basic materials
39,SETM,Sprott Critical Materials ETF,basic materials
40,SGDJ,Sprott Junior Gold Miners ETF,basic materials
41,SGDM,Sprott Gold Miners ETF,basic materials
42,SIL,Global X Silver Miners ETF,basic materials
43,SILJ,Amplify ETF Trust Amplify Junio,basic materials
44,SLVP,iShares MSCI Global Silver Mine,basic materials
45,SLX,VanEck Steel ETF,basic materials
46,UYM,ProShares Ultra Materials,basic materials
47,VAW,Vanguard Materials ETF,basic materials
48,WOOD,iShares Global Timber & Forestr,basic materials
49,XLB,Materials Select Sector SPDR,basic materials
50,XME,SPDR S&P Metals & Mining ETF,basic materials
51,ZSB,USCF ETF Trust USCF Sustainable,basic materials
1,AMZU,Direxion Daily AMZN Bull 2X Sha,consumer cyclical
2,AWAY,Amplify ETF Trust Amplify Trave,consumer cyclical
3,BEDZ,AdvisorShares Hotel ETF,consumer cyclical
4,BETZ,Roundhill Sports Betting & iGam,consumer cyclical
